preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
bele,nyúl,Nem nyúl bele,Nem belenyúl,Nem nyúl bele az új táskámba,Nem belenyúl az új táskámba,Nem azért nyúl bele az új táskámba,Nem azért belenyúl az új táskámba,Nem azért túl nyúl bele az új táskámba,Nem azért túl belenyúl az új táskámba
el,rendeljék,Ne rendeljék el,Ne elrendeljék,Ne rendeljék el az erős gyógyszert,Ne elrendeljék az erős gyógyszert,Ne azonnal rendeljék el az erős gyógyszert,Ne azonnal elrendeljék az erős gyógyszert,Ne azonnal túl rendeljék el az erős gyógyszert,Ne azonnal túl elrendeljék az erős gyógyszert
végre,hajtsák,Ne hajtsák végre,Ne végrehajtsák,Ne hajtsák végre a veszélyes tervet,Ne végrehajtsák a veszélyes tervet,Ne mindenáron hajtsák végre a veszélyes tervet,Ne mindenáron végrehajtsák a veszélyes tervet,Ne mindenáron túl hajtsák végre a veszélyes tervet,Ne mindenáron túl végrehajtsák a veszélyes tervet
el,meséli,Nem meséli el,Nem elmeséli,Nem meséli el az izgalmas történetet,Nem elmeséli az izgalmas történetet,Nem mindenáron meséli el az izgalmas történetet,Nem mindenáron elmeséli az izgalmas történetet,Nem mindenáron túl meséli el az izgalmas történetet,Nem mindenáron túl elmeséli az izgalmas történetet
ki,alakítanák,Nem alakítanák ki,Nem kialakítanák,Nem alakítanak ki erős kapcsolatot,Nem kialakítanak erős kapcsolatot,Nem azért alakítanak ki erős kapcsolatot,Nem azért kialakítanak erős kapcsolatot,Nem azért túl alakítanak ki erős kapcsolatot,Nem azért túl kialakítanak erős kapcsolatot
fel,szólalt,Nem szólalt fel,Nem felszólalt,Nem szólalt fel bátran a ügyben,Nem felszólalt bátran a ügyben,Nem ott szólalt fel bátran a ügyben,Nem ott felszólalt bátran a ügyben,Nem ott túl szólalt fel bátran a ügyben,Nem ott túl felszólalt bátran a ügyben
ki,adná,Nem adná ki,Nem kiadná,Nem adná ki a nagy titkot,Nem kiadná a nagy titkot,Nem amiatt adná ki a nagy titkot,Nem amiatt kiadná a nagy titkot,Nem amiatt túl adná ki a nagy titkot,Nem amiatt túl kiadná a nagy titkot
meg,tetszett,Nem tetszett meg,Nem megtetszett,Nem tetszett meg az új ruha,Nem megtetszett az új ruha,Nem holnap tetszett meg az új ruha,Nem holnap megtetszett az új ruha,Nem holnap túl tetszett meg az új ruha,Nem holnap túl megtetszett az új ruha
el,lát,Nem lát el,Nem ellát,Nem lát el új kötelezettségekkel,Nem ellát új kötelezettségekkel,Nem azonnal lát el új kötelezettségekkel,Nem azonnal ellát új kötelezettségekkel,Nem azonnal túl lát el új kötelezettségekkel,Nem azonnal túl ellát új kötelezettségekkel
el,kezdte,Nem kezdte el,Nem elkezdte,Nem kezdte el az új munkát,Nem elkezdte az új munkát,Nem mindenáron kezdte el az új munkát,Nem mindenáron elkezdte az új munkát,Nem mindenáron túl kezdte el az új munkát,Nem mindenáron túl elkezdte az új munkát
létre,jött,Nem jött létre,Nem létrejött,Nem jött létre végleges egyezség,Nem létrejött végleges egyezség,Nem ott jött létre végleges egyezség,Nem ott létrejött végleges egyezség,Nem ott túl jött létre végleges egyezség,Nem ott túl létrejött végleges egyezség
meg,jelenik,Nem jelenik meg,Nem megjelenik,Nem jelenik meg a holnap újságban,Nem megjelenik a holnap újságban,Nem akkor jelenik meg a holnap újságban,Nem akkor megjelenik a holnap újságban,Nem akkor túl jelenik meg a holnap újságban,Nem akkor túl megjelenik a holnap újságban
ki,adják,Nem adják ki,Nem kiadják,Nem adják ki az új könyvet,Nem kiadják az új könyvet,Nem emiatt adják ki az új könyvet,Nem emiatt kiadják az új könyvet,Nem emiatt túl adják ki az új könyvet,Nem emiatt túl kiadják az új könyvet
el,von,Nem von el,Nem elvon,Nem von el felesleges figyelmet,Nem elvon felesleges figyelmet,Nem hiába von el felesleges figyelmet,Nem hiába elvon felesleges figyelmet,Nem hiába túl von el felesleges figyelmet,Nem hiába túl elvon felesleges figyelmet
fel,szólított,Nem szólított fel,Nem felszólított,Nem szólított fel a fő színpadra,Nem felszólított a fő színpadra,Nem azért szólított fel a fő színpadra,Nem azért felszólított a fő színpadra,Nem azért túl szólított fel a fő színpadra,Nem azért túl felszólított a fő színpadra
el,rendeltek,Nem rendeltek el,Nem elrendeltek,Nem rendeltek el részletes vizsgálatot,Nem elrendeltek részletes vizsgálatot,Nem emiatt rendeltek el részletes vizsgálatot,Nem emiatt elrendeltek részletes vizsgálatot,Nem emiatt túl rendeltek el részletes vizsgálatot,Nem emiatt túl elrendeltek részletes vizsgálatot
be,mutatja,Nem mutatja be,Nem bemutatja,Nem mutatja be az új készüléket,Nem bemutatja az új készüléket,Nem mindenütt mutatja be az új készüléket,Nem mindenütt bemutatja az új készüléket,Nem mindenütt túl mutatja be az új készüléket,Nem mindenütt túl bemutatja az új készüléket
ki,dolgoznak,Nem dolgoznak ki,Nem kidolgoznak,Nem dolgoznak ki részletes tervet,Nem kidolgoznak részletes tervet,Nem aznap dolgoznak ki részletes tervet,Nem aznap kidolgoznak részletes tervet,Nem aznap túl dolgoznak ki részletes tervet,Nem aznap túl kidolgoznak részletes tervet
ki,vehet,Nem vehet ki,Nem kivehet,Nem vehet ki hosszú szabadságot,Nem kivehet hosszú szabadságot,Nem időközben vehet ki hosszú szabadságot,Nem időközben kivehet hosszú szabadságot,Nem időközben túl vehet ki hosszú szabadságot,Nem időközben túl kivehet hosszú szabadságot
meg,nézi,Nem nézi meg,Nem megnézi,Nem nézi meg az új filmet,Nem megnézi az új filmet,Nem időközben nézi meg az új filmet,Nem időközben megnézi az új filmet,Nem időközben túl nézi meg az új filmet,Nem időközben túl megnézi az új filmet
ki,nevezték,Nem nevezték ki,Nem kinevezték,Nem nevezték ki új igazgatónak,Nem kinevezték új igazgatónak,Nem igazából nevezték ki új igazgatónak,Nem igazából kinevezték új igazgatónak,Nem igazából túl nevezték ki új igazgatónak,Nem igazából túl kinevezték új igazgatónak
fel,tőkésíti,Nem tőkésíti fel,Nem feltőkésíti,Nem tőkésíti fel az új vállalkozást,Nem feltőkésíti az új vállalkozást,Nem csaknem tőkésíti fel az új vállalkozást,Nem csaknem feltőkésíti az új vállalkozást,Nem csaknem túl tőkésíti fel az új vállalkozást,Nem csaknem túl feltőkésíti az új vállalkozást
át,nyújtják,Nem nyújtják át,Nem átnyújtják,Nem nyújtják át a fontos dokumentumot,Nem átnyújtják a fontos dokumentumot,Nem korábban nyújtják át a fontos dokumentumot,Nem korábban átnyújtják a fontos dokumentumot,Nem korábban túl nyújtják át a fontos dokumentumot,Nem korábban túl átnyújtják a fontos dokumentumot
fel,lobbantak,Nem lobbantak fel,Nem fellobbantak,Nem lobbantak fel a nagy tüzek,Nem fellobbantak a nagy tüzek,Nem azért lobbantak fel a nagy tüzek,Nem azért fellobbantak a nagy tüzek,Nem azért túl lobbantak fel a nagy tüzek,Nem azért túl fellobbantak a nagy tüzek
fel,vásárolja,Nem vásárolja fel,Nem felvásárolja,Nem vásárolja fel az összes részvényeket,Nem felvásárolja az összes részvényeket,Nem igazából vásárolja fel az összes részvényeket,Nem igazából felvásárolja az összes részvényeket,Nem igazából túl vásárolja fel az összes részvényeket,Nem igazából túl felvásárolja az összes részvényeket
át,kerülhet,Nem kerülhet át,Nem átkerülhet,Nem kerülhet át illegálisan a határon,Nem átkerülhet illegálisan a határon,Nem mindjárt kerülhet át illegálisan a határon,Nem mindjárt átkerülhet illegálisan a határon,Nem mindjárt túl kerülhet át illegálisan a határon,Nem mindjárt túl átkerülhet illegálisan a határon
elő,került,Nem került elő,Nem előkerült,Nem került elő új bizonyíték,Nem előkerült új bizonyíték,Nem csaknem került elő új bizonyíték,Nem csaknem előkerült új bizonyíték,Nem csaknem túl került elő új bizonyíték,Nem csaknem túl előkerült új bizonyíték
ki,mondja,Nem mondja ki,Nem kimondja,Nem mondja ki a valódi véleményét,Nem kimondja a valódi véleményét,Nem ott mondja ki a valódi véleményét,Nem ott kimondja a valódi véleményét,Nem ott túl mondja ki a valódi véleményét,Nem ott túl kimondja a valódi véleményét
be,állt,Nem állt be,Nem beállt,Nem állt be a hosszú sorba,Nem beállt a hosszú sorba,Nem akkor állt be a hosszú sorba,Nem akkor beállt a hosszú sorba,Nem akkor túl állt be a hosszú sorba,Nem akkor túl beállt a hosszú sorba
ki,indul,Nem indul ki,Nem kiindul,Nem indul ki a fő állomásról,Nem kiindul a fő állomásról,Nem véletlenül indul ki a fő állomásról,Nem véletlenül kiindul a fő állomásról,Nem véletlenül túl indul ki a fő állomásról,Nem véletlenül túl kiindul a fő állomásról
ki,kerüljön,Ne kerüljön ki,Ne kikerüljön,Ne kerüljön ki a családi fotóból,Ne kikerüljön a családi fotóból,Ne hiába kerüljön ki a családi fotóból,Ne hiába kikerüljön a családi fotóból,Ne hiába túl kerüljön ki a családi fotóból,Ne hiába túl kikerüljön a családi fotóból
szét,küldte,Nem küldte szét,Nem szétküldte,Nem küldte szét az összes leveleket,Nem szétküldte az összes leveleket,Nem mindenütt küldte szét az összes leveleket,Nem mindenütt szétküldte az összes leveleket,Nem mindenütt túl küldte szét az összes leveleket,Nem mindenütt túl szétküldte az összes leveleket
meg,haltak,Nem haltak meg,Nem meghaltak,Nem haltak meg az érzékeny növények,Nem meghaltak az érzékeny növények,Nem hiába haltak meg az érzékeny növények,Nem hiába meghaltak az érzékeny növények,Nem hiába túl haltak meg az érzékeny növények,Nem hiába túl meghaltak az érzékeny növények
el,éri,Nem éri el,Nem eléri,Nem éri el a kitűzött célt,Nem eléri a kitűzött célt,Nem holnap éri el a kitűzött célt,Nem holnap eléri a kitűzött célt,Nem holnap túl éri el a kitűzött célt,Nem holnap túl eléri a kitűzött célt
meg,szüntetik,Nem szüntetik meg,Nem megszüntetik,Nem szüntetik meg az ingyenes szolgáltatást,Nem megszüntetik az ingyenes szolgáltatást,Nem akkoriban szüntetik meg az ingyenes szolgáltatást,Nem akkoriban megszüntetik az ingyenes szolgáltatást,Nem akkoriban túl szüntetik meg az ingyenes szolgáltatást,Nem akkoriban túl megszüntetik az ingyenes szolgáltatást
be,vezettek,Nem vezettek be,Nem bevezettek,Nem vezettek be szigorú új szabályt,Nem bevezettek szigorú új szabályt,Nem időközben vezettek be szigorú új szabályt,Nem időközben bevezettek szigorú új szabályt,Nem időközben túl vezettek be szigorú új szabályt,Nem időközben túl bevezettek szigorú új szabályt
el,végezte,Nem végezte el,Nem elvégezte,Nem végezte el a nehéz feladatot,Nem elvégezte a nehéz feladatot,Nem először végezte el a nehéz feladatot,Nem először elvégezte a nehéz feladatot,Nem először túl végezte el a nehéz feladatot,Nem először túl elvégezte a nehéz feladatot
ki,hirdették,Nem hirdették ki,Nem kihirdették,Nem hirdették ki a végeredményt,Nem kihirdették a végeredményt,Nem akkoriban hirdették ki a végeredményt,Nem akkoriban kihirdették a végeredményt,Nem akkoriban túl hirdették ki a végeredményt,Nem akkoriban túl kihirdették a végeredményt
meg,kezdte,Nem kezdte meg,Nem megkezdte,Nem kezdte meg a hosszú utazást,Nem megkezdte a hosszú utazást,Nem mindjárt kezdte meg a hosszú utazást,Nem mindjárt megkezdte a hosszú utazást,Nem mindjárt túl kezdte meg a hosszú utazást,Nem mindjárt túl megkezdte a hosszú utazást
el,éri,Nem éri el,Nem eléri,Nem éri el a magas csúcsot,Nem eléri a magas csúcsot,Nem azután éri el a magas csúcsot,Nem azután eléri a magas csúcsot,Nem azután túl éri el a magas csúcsot,Nem azután túl eléri a magas csúcsot
ki,rukkoltak,Nem rukkoltak ki,Nem kirukkoltak,Nem rukkoltak ki gyorsan a segítséggel,Nem kirukkoltak gyorsan a segítséggel,Nem mindenáron rukkoltak ki gyorsan a segítséggel,Nem mindenáron kirukkoltak gyorsan a segítséggel,Nem mindenáron túl rukkoltak ki gyorsan a segítséggel,Nem mindenáron túl kirukkoltak gyorsan a segítséggel
meg,tudta,Nem tudta meg,Nem megtudta,Nem tudta meg a szomorú hírt,Nem megtudta a szomorú hírt,Nem bármikor tudta meg a szomorú hírt,Nem bármikor megtudta a szomorú hírt,Nem bármikor túl tudta meg a szomorú hírt,Nem bármikor túl megtudta a szomorú hírt
meg,ütik,Nem ütik meg,Nem megütik,Nem ütik meg a kicsi gyerekeket,Nem megütik a kicsi gyerekeket,Nem igazán ütik meg a kicsi gyerekeket,Nem igazán megütik a kicsi gyerekeket,Nem igazán túl ütik meg a kicsi gyerekeket,Nem igazán túl megütik a kicsi gyerekeket
fel,verekedte,Nem verekedte fel,Nem felverekedte,Nem verte meg az erős csapatot,Nem megverte az erős csapatot,Nem mindenesetre verte meg az erős csapatot,Nem mindenesetre megverte az erős csapatot,Nem mindenesetre túl verte meg az erős csapatot,Nem mindenesetre túl megverte az erős csapatot
meg,kezdték,Nem kezdték meg,Nem megkezdték,Nem kezdték meg az új építkezést,Nem megkezdték az új építkezést,Nem bármikor kezdték meg az új építkezést,Nem bármikor megkezdték az új építkezést,Nem bármikor túl kezdték meg az új építkezést,Nem bármikor túl megkezdték az új építkezést
fel,szólította,Nem szólította fel,Nem felszólította,Nem szólította fel a fiatal tanárt,Nem felszólította a fiatal tanárt,Nem akkoriban szólította fel a fiatal tanárt,Nem akkoriban felszólította a fiatal tanárt,Nem akkoriban túl szólította fel a fiatal tanárt,Nem akkoriban túl felszólította a fiatal tanárt
meg,foszthatja,Nem foszthatja meg,Nem megfoszthatja,Nem foszthatja meg a teljes szabadságától,Nem megfoszthatja a teljes szabadságától,Nem azért foszthatja meg a teljes szabadságától,Nem azért megfoszthatja a teljes szabadságától,Nem azért túl foszthatja meg a teljes szabadságától,Nem azért túl megfoszthatja a teljes szabadságától
meg,mutatkozik,Nem mutatkozik meg,Nem megmutatkozik,Nem mutatkozik meg nyilvánosan gyakran,Nem megmutatkozik nyilvánosan gyakran,Nem emiatt mutatkozik meg nyilvánosan gyakran,Nem emiatt megmutatkozik nyilvánosan gyakran,Nem emiatt túl mutatkozik meg nyilvánosan gyakran,Nem emiatt túl megmutatkozik nyilvánosan gyakran
rá,ébredt,Nem ébredt rá,Nem ráébredt,Nem ébredt rá időben a veszélyre,Nem ráébredt időben a veszélyre,Nem bármikor ébredt rá időben a veszélyre,Nem bármikor ráébredt időben a veszélyre,Nem bármikor túl ébredt rá időben a veszélyre,Nem bármikor túl ráébredt időben a veszélyre
ki,ássuk,Nem ássuk ki,Nem kiássuk,Nem ássuk ki a régi kincset,Nem kiássuk a régi kincset,Nem mindenképpen ássuk ki a régi kincset,Nem mindenképpen kiássuk a régi kincset,Nem mindenképpen túl ássuk ki a régi kincset,Nem mindenképpen túl kiássuk a régi kincset
el,mondták,Nem mondták el,Nem elmondták,Nem mondták el a teljes igazat,Nem elmondták a teljes igazat,Nem időközben mondták el a teljes igazat,Nem időközben elmondták a teljes igazat,Nem időközben túl mondták el a teljes igazat,Nem időközben túl elmondták a teljes igazat
meg,születik,Nem születik meg,Nem megszületik,Nem születik meg az első baba,Nem megszületik az első baba,Nem csaknem születik meg az első baba,Nem csaknem megszületik az első baba,Nem csaknem túl születik meg az első baba,Nem csaknem túl megszületik az első baba
hozzá,tette,Nem tette hozzá,Nem hozzátette,Nem tette hozzá a kevés sót,Nem hozzátette a kevés sót,Nem aznap tette hozzá a kevés sót,Nem aznap hozzátette a kevés sót,Nem aznap túl tette hozzá a kevés sót,Nem aznap túl hozzátette a kevés sót
át,vágták,Nem vágták át,Nem átvágták,Nem vágták át a vastag drótot,Nem átvágták a vastag drótot,Nem véletlenül vágták át a vastag drótot,Nem véletlenül átvágták a vastag drótot,Nem véletlenül túl vágták át a vastag drótot,Nem véletlenül túl átvágták a vastag drótot
el,teszik,Nem teszik el,Nem elteszik,Nem teszik el a nagy könyvet,Nem elteszik a nagy könyvet,Nem igazából teszik el a nagy könyvet,Nem igazából elteszik a nagy könyvet,Nem igazából túl teszik el a nagy könyvet,Nem igazából túl elteszik a nagy könyvet
ki,írnának,Nem írnának ki,Nem kiírnának,Nem írnak ki nagy versenyt,Nem kiírnak nagy versenyt,Nem okvetlenül írnak ki nagy versenyt,Nem okvetlenül kiírnak nagy versenyt,Nem okvetlenül túl írnak ki nagy versenyt,Nem okvetlenül túl kiírnak nagy versenyt
meg,osztja,Nem osztja meg,Nem megosztja,Nem osztja meg a nagy tortát,Nem megosztja a nagy tortát,Nem amiatt osztja meg a nagy tortát,Nem amiatt megosztja a nagy tortát,Nem amiatt túl osztja meg a nagy tortát,Nem amiatt túl megosztja a nagy tortát
el,adhatott,Nem adhatott el,Nem eladhatott,Nem adhatott el drága autót,Nem eladhatott drága autót,Nem mindjárt adhatott el drága autót,Nem mindjárt eladhatott drága autót,Nem mindjárt túl adhatott el drága autót,Nem mindjárt túl eladhatott drága autót
el,vesztették,Nem vesztették el,Nem elvesztették,Nem vesztették el a fontos meccset,Nem elvesztették a fontos meccset,Nem akkor vesztették el a fontos meccset,Nem akkor elvesztették a fontos meccset,Nem akkor túl vesztették el a fontos meccset,Nem akkor túl elvesztették a fontos meccset
hozzá,teszik,Nem teszik hozzá,Nem hozzáteszik,Nem teszik hozzá a kevés cukrot,Nem hozzáteszik a kevés cukrot,Nem azért teszik hozzá a kevés cukrot,Nem azért hozzáteszik a kevés cukrot,Nem azért túl teszik hozzá a kevés cukrot,Nem azért túl hozzáteszik a kevés cukrot
meg,történt,Nem történt meg,Nem megtörtént,Nem történt meg súlyos baleset,Nem megtörtént súlyos baleset,Nem ilyenkor történt meg súlyos baleset,Nem ilyenkor megtörtént súlyos baleset,Nem ilyenkor túl történt meg súlyos baleset,Nem ilyenkor túl megtörtént súlyos baleset
el,bírt,Nem bírt el,Nem elbírt,Nem bírt el teljesen egyedül,Nem elbírt teljesen egyedül,Nem akkor bírt el teljesen egyedül,Nem akkor elbírt teljesen egyedül,Nem akkor túl bírt el teljesen egyedül,Nem akkor túl elbírt teljesen egyedül
el,kerülni,Nem kerüli el,Nem elkerüli,Nem kerüli el a nagy veszélyt,Nem elkerüli a nagy veszélyt,Nem akkoriban kerüli el a nagy veszélyt,Nem akkoriban elkerüli a nagy veszélyt,Nem akkoriban túl kerüli el a nagy veszélyt,Nem akkoriban túl elkerüli a nagy veszélyt
együtt,működött,Nem működött együtt,Nem együttműködött,Nem működött együtt az új csapattal,Nem együttműködött az új csapattal,Nem azért működött együtt az új csapattal,Nem azért együttműködött az új csapattal,Nem azért túl működött együtt az új csapattal,Nem azért túl együttműködött az új csapattal
be,vezessenek,Ne vezessenek be,Ne bevezessenek,Ne vezessenek be bonyolult új rendszert,Ne bevezessenek bonyolult új rendszert,Ne okvetlenül vezessenek be bonyolult új rendszert,Ne okvetlenül bevezessenek bonyolult új rendszert,Ne okvetlenül túl vezessenek be bonyolult új rendszert,Ne okvetlenül túl bevezessenek bonyolult új rendszert
végre,hajtott,Nem hajtott végre,Nem végrehajtott,Nem hajtott végre súlyos bűncselekményt,Nem végrehajtott súlyos bűncselekményt,Nem mindenképpen hajtott végre súlyos bűncselekményt,Nem mindenképpen végrehajtott súlyos bűncselekményt,Nem mindenképpen túl hajtott végre súlyos bűncselekményt,Nem mindenképpen túl végrehajtott súlyos bűncselekményt
elő,idézi,Nem idézi elő,Nem előidézi,Nem idézi elő a régi problémát,Nem előidézi a régi problémát,Nem mindenütt idézi elő a régi problémát,Nem mindenütt előidézi a régi problémát,Nem mindenütt túl idézi elő a régi problémát,Nem mindenütt túl előidézi a régi problémát
el,tudta,Nem tudta el,Nem eltudta,Nem tudta el igazán képzelni,Nem eltudta igazán képzelni,Nem mindenesetre tudta el igazán képzelni,Nem mindenesetre eltudta igazán képzelni,Nem mindenesetre túl tudta el igazán képzelni,Nem mindenesetre túl eltudta igazán képzelni
ki,egyenlítették,Nem egyenlítették ki,Nem kiegyenlítették,Nem egyenlítették ki a nagy adósságot,Nem kiegyenlítették a nagy adósságot,Nem ilyenkor egyenlítették ki a nagy adósságot,Nem ilyenkor kiegyenlítették a nagy adósságot,Nem ilyenkor túl egyenlítették ki a nagy adósságot,Nem ilyenkor túl kiegyenlítették a nagy adósságot
végre,hajtották,Nem hajtották végre,Nem végrehajtották,Nem hajtották végre a szigorú parancsot,Nem végrehajtották a szigorú parancsot,Nem igazán hajtották végre a szigorú parancsot,Nem igazán végrehajtották a szigorú parancsot,Nem igazán túl hajtották végre a szigorú parancsot,Nem igazán túl végrehajtották a szigorú parancsot
meg,tartotta,Nem tartotta meg,Nem megtartotta,Nem tartotta meg a fontos ígéretet,Nem megtartotta a fontos ígéretet,Nem hiába tartotta meg a fontos ígéretet,Nem hiába megtartotta a fontos ígéretet,Nem hiába túl tartotta meg a fontos ígéretet,Nem hiába túl megtartotta a fontos ígéretet
át,nyújtanak,Nem nyújtanak át,Nem átnyújtanak,Nem nyújtanak át gyors segítséget,Nem átnyújtanak gyors segítséget,Nem aznap nyújtanak át gyors segítséget,Nem aznap átnyújtanak gyors segítséget,Nem aznap túl nyújtanak át gyors segítséget,Nem aznap túl átnyújtanak gyors segítséget
meg,nevezett,Nem nevezett meg,Nem megnevezett,Nem nevezett meg egyértelmű győztest,Nem megnevezett egyértelmű győztest,Nem hiába nevezett meg egyértelmű győztest,Nem hiába megnevezett egyértelmű győztest,Nem hiába túl nevezett meg egyértelmű győztest,Nem hiába túl megnevezett egyértelmű győztest
észre,veszem,Nem veszem észre,Nem észreveszem,Nem veszem észre a kis változást,Nem észreveszem a kis változást,Nem mindenütt veszem észre a kis változást,Nem mindenütt észreveszem a kis változást,Nem mindenütt túl veszem észre a kis változást,Nem mindenütt túl észreveszem a kis változást
el,fogadta,Nem fogadta el,Nem elfogadta,Nem fogadta el az előnyös ajánlatot,Nem elfogadta az előnyös ajánlatot,Nem aztán fogadta el az előnyös ajánlatot,Nem aztán elfogadta az előnyös ajánlatot,Nem aztán túl fogadta el az előnyös ajánlatot,Nem aztán túl elfogadta az előnyös ajánlatot
meg,határozzák,Nem határozzák meg,Nem meghatározzák,Nem határozzák meg a pontos árat,Nem meghatározzák a pontos árat,Nem ott határozzák meg a pontos árat,Nem ott meghatározzák a pontos árat,Nem ott túl határozzák meg a pontos árat,Nem ott túl meghatározzák a pontos árat
le,húzza,Nem húzza le,Nem lehúzza,Nem húzza le a vastag redőnyt,Nem lehúzza a vastag redőnyt,Nem aztán húzza le a vastag redőnyt,Nem aztán lehúzza a vastag redőnyt,Nem aztán túl húzza le a vastag redőnyt,Nem aztán túl lehúzza a vastag redőnyt
át,adják,Ne adják át,Ne átadják,Ne adják át a titkos dokumentumot,Ne átadják a titkos dokumentumot,Ne aztán adják át a titkos dokumentumot,Ne aztán átadják a titkos dokumentumot,Ne aztán túl adják át a titkos dokumentumot,Ne aztán túl átadják a titkos dokumentumot
ki,adta,Nem adta ki,Nem kiadta,Nem adta ki az új könyvet,Nem kiadta az új könyvet,Nem hiába adta ki az új könyvet,Nem hiába kiadta az új könyvet,Nem hiába túl adta ki az új könyvet,Nem hiába túl kiadta az új könyvet
meg,esnek,Nem esnek meg,Nem megesnek,Nem esnek meg az őszi levelek,Nem megesnek az őszi levelek,Nem akkor esnek meg az őszi levelek,Nem akkor megesnek az őszi levelek,Nem akkor túl esnek meg az őszi levelek,Nem akkor túl megesnek az őszi levelek
át,venné,Nem venné át,Nem átvenné,Nem venné át a teljes vezetést,Nem átvenné a teljes vezetést,Nem korábban venné át a teljes vezetést,Nem korábban átvenné a teljes vezetést,Nem korábban túl venné át a teljes vezetést,Nem korábban túl átvenné a teljes vezetést
meg,tekinthetnek,Nem tekinthetnek meg,Nem megtekinthetnek,Nem tekinthetnek meg érdekes kiállítást,Nem megtekinthetnek érdekes kiállítást,Nem azonnal tekinthetnek meg érdekes kiállítást,Nem azonnal megtekinthetnek érdekes kiállítást,Nem azonnal túl tekinthetnek meg érdekes kiállítást,Nem azonnal túl megtekinthetnek érdekes kiállítást
össze,vonnák,Nem vonnák össze,Nem összevonnák,Nem vonják össze a teljes erőiket,Nem összevonják a teljes erőiket,Nem időközben vonják össze a teljes erőiket,Nem időközben összevonják a teljes erőiket,Nem időközben túl vonják össze a teljes erőiket,Nem időközben túl összevonják a teljes erőiket
szét,osztott,Nem osztott szét,Nem szétosztott,Nem osztott szét gyors segélyt,Nem szétosztott gyors segélyt,Nem aznap osztott szét gyors segélyt,Nem aznap szétosztott gyors segélyt,Nem aznap túl osztott szét gyors segélyt,Nem aznap túl szétosztott gyors segélyt
létre,jönnek,Nem jönnek létre,Nem létrejönnek,Nem jönnek létre sikeres új csapatok,Nem létrejönnek sikeres új csapatok,Nem igazából jönnek létre sikeres új csapatok,Nem igazából létrejönnek sikeres új csapatok,Nem igazából túl jönnek létre sikeres új csapatok,Nem igazából túl létrejönnek sikeres új csapatok
be,jelentkeztek,Nem jelentkeztek be,Nem bejelentkeztek,Nem jelentkeztek be a nehéz versenyre,Nem bejelentkeztek a nehéz versenyre,Nem azóta jelentkeztek be a nehéz versenyre,Nem azóta bejelentkeztek a nehéz versenyre,Nem azóta túl jelentkeztek be a nehéz versenyre,Nem azóta túl bejelentkeztek a nehéz versenyre
fel,keresik,Nem keresik fel,Nem felkeresik,Nem keresik fel az idős szülőket,Nem felkeresik az idős szülőket,Nem azóta keresik fel az idős szülőket,Nem azóta felkeresik az idős szülőket,Nem azóta túl keresik fel az idős szülőket,Nem azóta túl felkeresik az idős szülőket
föl,keresik,Nem keresik föl,Nem fölkeresik,Nem keresik föl a kedves tanárt,Nem fölkeresik a kedves tanárt,Nem először keresik föl a kedves tanárt,Nem először fölkeresik a kedves tanárt,Nem először túl keresik föl a kedves tanárt,Nem először túl fölkeresik a kedves tanárt
be,fejeződtek,Nem fejeződtek be,Nem befejeződtek,Nem fejeződtek be a hosszú tárgyalások,Nem befejeződtek a hosszú tárgyalások,Nem véletlenül fejeződtek be a hosszú tárgyalások,Nem véletlenül befejeződtek a hosszú tárgyalások,Nem véletlenül túl fejeződtek be a hosszú tárgyalások,Nem véletlenül túl befejeződtek a hosszú tárgyalások
elő,fordulnak,Nem fordulnak elő,Nem előfordulnak,Nem fordulnak elő túl gyakran,Nem előfordulnak túl gyakran,Nem ott fordulnak elő túl gyakran,Nem ott előfordulnak túl gyakran,Nem ott túl fordulnak elő túl gyakran,Nem ott túl előfordulnak túl gyakran
meg,adta,Nem adta meg,Nem megadta,Nem adta meg a pontos választ,Nem megadta a pontos választ,Nem azonnal adta meg a pontos választ,Nem azonnal megadta a pontos választ,Nem azonnal túl adta meg a pontos választ,Nem azonnal túl megadta a pontos választ
meg,kezdhette,Nem kezdhette meg,Nem megkezdhette,Nem kezdhette meg az új munkát,Nem megkezdhette az új munkát,Nem csaknem kezdhette meg az új munkát,Nem csaknem megkezdhette az új munkát,Nem csaknem túl kezdhette meg az új munkát,Nem csaknem túl megkezdhette az új munkát
ki,vizsgálom,Nem vizsgálom ki,Nem kivizsgálom,Nem vizsgálom ki a bonyolult ügyet,Nem kivizsgálom a bonyolult ügyet,Nem holnap vizsgálom ki a bonyolult ügyet,Nem holnap kivizsgálom a bonyolult ügyet,Nem holnap túl vizsgálom ki a bonyolult ügyet,Nem holnap túl kivizsgálom a bonyolult ügyet
fel,tette,Nem tette fel,Nem feltette,Nem tette fel a bátran kezét,Nem feltette a bátran kezét,Nem amiatt tette fel a bátran kezét,Nem amiatt feltette a bátran kezét,Nem amiatt túl tette fel a bátran kezét,Nem amiatt túl feltette a bátran kezét
meg,célozzák,Nem célozzák meg,Nem megcélozzák,Nem célozzák meg a fő célt,Nem megcélozzák a fő célt,Nem mindenáron célozzák meg a fő célt,Nem mindenáron megcélozzák a fő célt,Nem mindenáron túl célozzák meg a fő célt,Nem mindenáron túl megcélozzák a fő célt
